track_id,genre_id
1,2
2,3
2,12
3,4
4,1
5,2
5,11
6,4
6,11
7,10
8,6
9,2
10,9
10,7
11,5
12,1
12,10
13,2
13,7
14,3
15,2
16,5
17,7
18,7
19,10
19,12
20,1
20,3
21,7
22,10
23,1
23,7
24,12
25,1
26,5
26,6
27,6
28,5
29,8
30,4
31,5
32,6
32,5
33,10
33,11
34,4
35,4
35,7
36,9
36,6
37,9
38,2
39,12
40,3
40,9
41,3
42,4
43,4
44,8
45,6
46,5
47,8
48,11
48,2
49,4
50,8
51,3
51,8
52,6
53,5
54,5
55,7
56,3
57,4
58,11
59,5
60,9
60,1
61,8
62,11
63,10
64,4
65,10
66,12
67,7
68,6
68,8
69,4
70,5
70,11
71,10
71,2
72,9
73,9
74,5
75,8
76,6
77,11
78,5
79,11
80,4
81,9
82,1
83,11
83,6
84,12
85,11
86,5
86,12
87,7
87,12
88,10
89,6
90,11
91,11
91,6
92,3
93,5
94,8
95,12
96,12
97,11
98,11
99,4
100,4
101,7
102,6
103,10
104,8
105,8
106,11
107,8
108,9
109,11
110,9
110,5
111,1
111,3
112,4
113,7
114,3
114,6
115,2
116,6
116,11
117,6
118,1
119,5
119,4
120,10
121,8
122,3
123,11
123,7
124,7
124,8
125,1
125,12
126,12
127,1
128,9
129,1
130,11
131,4
132,5
133,2
134,9
134,10
135,3
136,1
137,5
138,12
138,9
139,7
140,6
141,6
141,4
142,7
143,4
144,12
145,4
146,10
147,2
148,12
149,7
150,9
151,10
152,11
153,11
154,1
155,7
156,7
156,2
157,8
158,4
159,5
160,11
160,2
161,10
162,7
163,9
164,5
165,2
166,4
166,10
167,5
168,6
169,5
169,3
170,9
171,4
171,8
172,4
173,1
174,2
175,3
175,2
176,12
177,5
178,8
179,5
180,1
180,2
181,1
182,6
183,7
184,2
185,1
186,11
187,6
188,8
189,12
190,6
191,3
192,7
193,8
193,5
194,12
194,8
195,11
195,3
196,3
197,3
198,7
199,10
199,11
200,3
200,10
201,6
201,10
202,11
203,8
204,2
204,7
205,1
205,2
206,11
207,1
208,11
209,9
210,7
211,8
212,11
213,3
213,9
214,1
215,9
216,8
216,3
217,8
218,4
219,5
220,9
221,9
222,7
222,4
223,8
224,10
224,8
225,8
226,6
226,2
227,12
227,11
228,2
229,7
229,1
230,2
231,9
232,11
233,6
233,12
234,4
235,6
235,9
236,12
236,11
237,12
238,2
238,12
239,1
240,6
241,9
242,12
243,1
244,8
245,12
246,2
246,5
247,4
248,7
249,8
250,12
251,2
252,1
252,11
253,8
254,11
254,10
255,8
256,9
257,9
258,10
258,8
259,12
260,12
261,2
262,11
262,10
263,9
264,7
264,10
265,5
266,6
266,5
267,3
267,12
268,10
268,9
269,12
270,12
271,4
272,10
273,11
274,11
275,12
276,9
277,12
278,6
279,10
279,12
280,11
280,9
281,7
282,9
283,1
284,3
284,1
285,4
286,3
287,11
288,3
289,12
290,4
291,6
292,2
292,10
293,12
294,4
294,9
295,12
296,7
297,7
297,11
298,9
299,1
300,4
301,4
301,11
302,10
303,12
304,5
305,3
305,11
306,3
307,12
308,7
309,7
310,9
311,3
312,10
313,1
314,8
315,1
316,6
317,11
318,8
319,2
320,9
321,3
322,9
323,7
324,2
324,6
325,4
326,6
327,5
328,10
329,9
329,11
330,2
331,8
332,11
333,1
334,7
335,7
336,9
337,1
338,9
339,8
339,1
340,11
341,6
342,2
343,9
344,11
345,4
346,11
347,2
347,4
348,11
348,2
349,1
350,12
350,6
351,2
352,1
353,5
354,10
355,5
356,7
356,8
357,7
357,6
358,7
359,9
360,11
361,12
362,12
363,6
364,5
365,10
366,5
367,7
367,12
368,8
369,9
370,3
371,9
371,5
372,5
373,1
374,2
375,1
376,9
376,12
377,5
378,12
379,4
380,11
380,9
381,3
382,4
383,4
384,3
385,9
386,11
386,9
387,5
388,5
389,4
390,6
390,12
391,11
392,2
393,10
394,4
395,8
396,6
396,10
397,12
398,10
399,6
400,3
400,1
401,4
402,12
403,5
403,6
404,11
405,8
406,8
406,6
407,8
408,3
409,5
410,9
411,5
412,12
413,1
414,10
415,10
415,4
416,9
417,9
418,11
418,3
419,7
420,10
421,3
422,9
422,12
423,7
424,9
425,11
426,10
427,9
428,8
429,3
430,12
431,6
431,1
432,8
433,2
434,6
435,1
436,9
437,7
438,8
438,1
439,11
440,2
441,12
442,10
443,7
444,6
444,10
445,9
446,7
447,9
448,6
448,12
449,8
449,10
450,9
451,8
452,4
453,9
454,4
455,3
456,6
457,11
458,7
459,12
460,8
461,8
461,4
462,11
463,1
463,4
464,3
465,3
466,10
467,1
468,5
469,9
470,10
470,12
471,12
472,2
473,8
474,8
474,3
475,7
476,10
477,10
478,3
479,8
480,4
481,7
481,3
482,1
483,9
484,3
484,10
485,3
486,10
486,12
487,9
488,2
489,11
489,3
490,11
491,9
491,7
492,1
493,4
493,8
494,6
494,10
495,7
496,5
497,4
497,2
498,10
499,5
499,4
500,12
501,10
502,9
503,7
504,12
505,7
506,2
507,7
508,5
509,10
509,6
510,11
511,4
511,7
512,3
512,6
513,5
513,12
514,12
515,12
515,3
516,12
517,8
518,2
519,9
520,6
520,9
521,3
522,11
522,1
523,3
524,10
524,7
525,2
526,4
527,2
528,12
529,7
529,10
530,12
531,3
532,8
532,1
533,11
534,4
535,10
536,10
537,11
538,6
539,11
540,3
541,5
542,6
542,11
543,7
543,10
544,9
545,12
546,2
547,12
548,6
549,4
550,8
551,10
551,1
552,3
553,9
553,2
554,9
555,6
556,9
557,9
558,12
559,7
559,10
560,4
560,6
561,11
561,8
562,8
563,5
564,7
565,11
566,6
567,6
567,9
568,12
569,4
570,2
571,11
571,6
572,9
573,8
574,6
575,10
576,3
577,8
578,4
579,5
580,4
581,4
582,3
583,2
584,11
585,10
585,1
586,8
587,10
588,8
589,8
590,9
591,7
592,10
593,1
594,8
594,9
595,9
596,7
597,8
598,12
599,6
599,1
600,11
601,7
602,6
603,10
604,3
605,4
606,8
607,6
608,8
609,4
609,7
610,6
611,5
611,8
612,10
613,10
614,2
615,4
616,7
616,4
617,12
618,8
619,3
620,8
620,3
621,8
622,5
623,7
624,12
625,1
626,5
627,11
627,2
628,12
628,6
629,6
630,9
631,6
632,7
633,6
634,10
635,5
636,6
637,12
637,8
638,7
639,8
640,3
641,7
642,2
642,12
643,6
644,6
645,11
646,12
647,10
648,5
648,8
649,12
650,7
650,3
651,1
652,12
653,11
654,12
655,4
656,7
657,2
658,8
659,1
660,9
660,2
661,5
662,2
663,5
663,4
664,12
665,8
666,3
667,1
668,11
669,6
670,8
670,9
671,9
672,3
672,9
673,10
674,11
674,12
675,9
675,11
676,6
677,9
677,4
678,8
679,6
680,5
680,3
681,1
682,9
683,6
684,8
685,12
686,8
686,5
687,7
688,10
689,1
690,4
691,9
691,7
692,4
692,3
693,7
693,4
694,2
695,11
695,4
696,5
697,7
698,2
699,3
700,2
701,10
701,8
702,12
703,4
703,6
704,3
705,9
706,3
707,5
708,3
709,12
709,1
710,2
711,1
712,4
712,6
713,5
713,8
714,8
715,6
716,3
717,5
718,2
718,9
719,3
719,4
720,7
721,2
722,7
723,4
723,1
724,8
725,9
726,8
727,11
727,5
728,3
729,12
730,5
731,11
731,5
732,6
733,11
734,2
735,11
736,6
736,1
737,5
738,7
739,1
740,10
741,12
741,10
742,6
743,4
744,8
745,11
746,11
747,1
748,11
749,12
750,3
751,4
751,6
752,8
753,1
754,6
754,3
755,1
756,12
756,8
757,9
758,4
758,10
759,9
760,6
761,5
761,10
762,2
763,8
764,5
765,8
766,11
